smiles	molid
COCCc1ccc(OCC(O)CNC(C)C)cc1	mol105
C=CCOc1ccccc1OCC(O)CNC(C)C	mol106
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	mol107
CN[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	mol108
CN(C)CCOC1(c2ccccc2)CC2CCC1(C)C2(C)C	mol109
CNC(C)C(O)c1ccccc1	mol110
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC)c(C(C)=O)c1	mol111
NC(CC(=O)O)C(=O)O	mol112
CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2	mol113
Oc1ccc2c3c1O[C@H]1C(O)C=C[C@H]4[C@@H](C2)NCC[C@]314	mol114
CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2	mol115
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1	mol116
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1	mol117
COc1cc(NC(C)CCCN)c2ncccc2c1	mol118
CNCCC=C1c2ccccc2CCc2ccccc21	mol119
CNCCCN1c2ccccc2CCc2ccccc21	mol120
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C	mol121
NCCCCc1ccccc1	mol122
NC12CC3CC(CC(C3)C1)C2	mol123
CN1CCCC1c1cccnc1	mol124
Nc1c2c(nc3ccccc13)CCCC2	mol125
CC(C)(C)NCC(O)c1cc(O)cc(O)c1	mol126
CCN(CC)CCNC(=O)c1ccc(N)cc1	mol127
CCOC(=O)C1(c2ccccc2)CCN(C)CC1	mol128
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1	mol129
CNCC[C@@H](Oc1ccccc1C)c1ccccc1	mol130
CN1CCN2c3ncccc3Cc3ccccc3C2C1	mol131
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	mol132
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1	mol133
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1	mol134
CNCCCC12CCC(c3ccccc31)c1ccccc12	mol135
CN(C)CCCN1c2ccccc2Sc2ccccc21	mol136
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5	mol137
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2	mol138
CN1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2	mol139
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21	mol140
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1	mol141
COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)N2C	mol142
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	mol143
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21	mol144
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314	mol145
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1	mol146
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21	mol147
C=C[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12	mol148
Cc1ccc(O)c([C@@H](CCN(C(C)C)C(C)C)c2ccccc2)c1	mol149
CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1	mol150
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5	mol151
Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3	mol152
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1	mol153
